t,N45,N35,N32,N36,,
0,0,0,0,0,,
15,34.18601825,35.48769306,43.66672927,51.6587861,,
30,49.04273183,55.92009324,64.09857708,68.93131753,,
45,59.0658764,62.41161979,73.56409775,77.65306348,,
60,68.34579863,70.01867032,80.61352438,84.33101704,,
75,72.60710577,72.42123114,81.9008374,88.22057491,,
90,76.68226209,75.19498884,85.23249519,91.73810734,,
105,79.82804525,77.78342429,88.00680528,95.06976513,,
120,83.5317285,77.76961488,90.22349146,96.91470205,,
150,86.47782761,80.52983937,90.38174728,97.44415475,,
180,88.86630283,80.50194436,90.16770145,97.41653594,,
210,89.39575554,80.10174772,92.18415122,98.13213946,,
